concept_id,reading,category,voice,test_type,verdict,n,diff,ci_lo,ci_hi,p,q_bh,holm,verified,deepdive_label,summary,result_path,script
dynamic-daily-bias,,model,guest,gate,NULL,17658,0.00224846,-0.0254597,0.0286281,0.8706,0.9669,keep,,,"5m CISD book limited to moments where the pre-open bias (previous daily candle) and the same-day dynamic bias (15m close through a 2/2 swing, with an FVG on the leg) disagree. Trading with the dynamic bias vs the pre-open bias: diff +0.002R, CI [-0.025, +0.029]. Powered NULL; the gate fired on 50% of events.",concept_campaign/results/dynamic-daily-bias.json,concept_campaign/tests/model_guest_02b/dynamic-daily-bias.py
dynamic-risk-scaling-matrix,,risk,guest,gate,NULL,9116,-0.0252334,-0.0549579,0.00595781,0.1044,0.3728,keep,,,"The ladder can only beat flat 1% sizing if trades after a win do better than trades after a loss, so that is the test (gate: previous taken trade won, claim '+'). Powered NULL, -0.025R [-0.055, +0.006], leaning the wrong way. Sizing off the last outcome adds variance, not expectancy, on this book.",concept_campaign/results/dynamic-risk-scaling-matrix.json,concept_campaign/tests/risk_guest_01a/dynamic-risk-scaling-matrix.py
early-cisd,,entry,own,gate,NULL,4896,0.0174719,-0.0248191,0.0609634,0.4246,0.7184,keep,,,"4H/15m: CISDs taken after the 4H C2 closed (continuation in C3) vs early CISDs inside a still-forming 4H C2 gave +0.017R, a powered NULL (MDE 0.061).",concept_campaign/results/early-cisd.json,concept_campaign/tests/entry_own_01a/early-cisd.py
economic-calendar-filter,a,time,own,gate,NULL,20886,-0.0103884,-0.0363993,0.0153406,0.4313,0.7221,keep,,,"Three-tier filter plus the standing rules, on the 15m CISD book. Blocked: Monday sessions, NFP weeks before the 08:30 Friday release, and trades whose hold spans the release. Allowed arm: -0.010R. Powered NULL. NFP is the only calendar used; CPI and FOMC are unmodelled, which attenuates toward 0.",concept_campaign/results/economic-calendar-filter__a.json,concept_campaign/tests/time_own_02a/economic-calendar-filter.py
economic-calendar-filter,b,time,own,gate,UNDERPOWERED,503,0.0267209,-0.0725009,0.122198,0.5906,0.8125,keep,,,"Earlier participation reading: trade only after 08:30 on red-folder days. Baseline is the 15m CISD events from 08:30 to 17:00 NY on Tue-Fri, and the gate is 'NFP day'. +0.027R, but there are only 123 NFP days (effective n below 200, MDE 0.14), so UNDERPOWERED.",concept_campaign/results/economic-calendar-filter__b.json,concept_campaign/tests/time_own_02a/economic-calendar-filter.py
engineered-liquidity-before-htf-array,,liquidity,guest,gate,UNDERPOWERED,118,0.23867,-0.0197123,0.516925,0.08127,0.3399,keep,,,"Baseline: first-tag reversal trades at a daily FVG, entered on the 4H forex grid (stop beyond the array, 2R, 40h hold in bar time); 439 trades. Gate: the prior day of 4H bars stopped within 0.5 daily ATR of the array and ranged at most 1 daily ATR; it fired on 27%.",concept_campaign/results/engineered-liquidity-before-htf-array.json,concept_campaign/tests/liquidity_guest_01b/engineered-liquidity-before-htf-array.py
entry-time-window,a,time,own,gate,NULL,10768,0.00493052,-0.0173002,0.0273813,0.6653,0.8594,keep,,,"Gate test: only taking entries in 08:30-11:00 NY (0bH_kkG2q6s) on the 5m bare-CISD book (98,346 events, 2R, 50 min). Gated minus complement is +0.005R [-0.017,+0.027]. A powered NULL (MDE 0.032).",concept_campaign/results/entry-time-window__a.json,concept_campaign/tests/time_own_01a/entry-time-window.py
entry-time-window,b,time,own,gate,NULL,2361,0.00849631,-0.0401164,0.0589672,0.7368,0.9068,keep,,,"Gate test: the 09:30-10:00 NY 'opening drive' window (G1IIdQ3RAkY) on the same 5m CISD book. +0.008R [-0.040,+0.059]. A powered NULL (MDE 0.071).",concept_campaign/results/entry-time-window__b.json,concept_campaign/tests/time_own_01a/entry-time-window.py
eq-if-then-pd-array-match,,entry,own,trade,NULL,3066,-0.0192437,-0.0694397,0.0325441,0.4595,0.7367,keep,,,"Trade test: a 1H CISD whose protected swing sits in the half of the previous day's range matching its direction (lows in [PDL, EQ] for longs, highs in [EQ, PDH] for shorts). Stop at that swing, target the far side (PDH/PDL) if not yet taken, 10h hold. Result -0.019R [-0.069, +0.033]. Powered, so NULL.",concept_campaign/results/eq-if-then-pd-array-match.json,concept_campaign/tests/entry_own_03a/eq-if-then-pd-array-match.py
equilibrium-eq,a,entry,own,rate,NULL,1638,0.0029304,-0.0230861,0.0312607,0.8326,0.9416,keep,,,"Bias-invalidator reading: the first 1H close through the previous day's EQ, against that day's direction, reaches PDL/PDH by the end of the day 49.6% of the time, against a time-of-day-matched null of 49.3% (powered, MDE 0.039). This is the corrected run.",concept_campaign/results/equilibrium-eq__a.json,concept_campaign/tests/entry_own_02a/equilibrium-eq.py
equilibrium-eq,b,entry,own,gate,NULL,7661,0.025835,-0.0099808,0.0625625,0.1627,0.4579,keep,,,"Expansion-filter reading: 15m CISD trades with the prior 4H candle's direction, gated on the current 4H candle's running extreme having stayed beyond the prior 4H candle's EQ (47% of events pass). Positive but not significant (powered, MDE 0.052).",concept_campaign/results/equilibrium-eq__b.json,concept_campaign/tests/entry_own_02a/equilibrium-eq.py
es-nq-ratio-chart,,structure,own,gate,NULL,3984,-0.0158141,-0.0697559,0.0415488,0.5776,0.8034,keep,,,The device transferred to XAU/XAG because ES and NQ are not in the data. Gold 1h CISD book gated on the prior completed day's ratio candle closing in the trade direction. Gate fires on 50%. Powered zero. This does not test the ES/NQ claim itself.,concept_campaign/results/es-nq-ratio-chart.json,concept_campaign/tests/structure_own_04b/es-nq-ratio-chart.py
est-timezone-anchor,a,time,own,rate,EDGE,2682,0.10117,0.0803039,0.128552,2.043e-16,0,reject,refuted_faithfulness,,"Refuted (faithfulness): measures the 08:30 volatility step of a sibling concept, not the clock convention; the null ignores time of day.",concept_campaign/results/est-timezone-anchor__a.json,concept_campaign/tests/time_own_01a/est-timezone-anchor.py
est-timezone-anchor,b,time,own,rate,EDGE,2688,0.243943,0.216398,0.272223,8.99e-66,1.553e-63,reject,refuted_faithfulness,,Refuted (faithfulness): fixed UTC-5 contradicts the concept's own rules; its excess is summer days where '08:30' is the 09:30 cash open.,concept_campaign/results/est-timezone-anchor__b.json,concept_campaign/tests/time_own_01a/est-timezone-anchor.py
eurgbp-relative-strength-cross,a,structure,own,gate,UNDERPOWERED,350,0.0204537,-0.139823,0.176368,0.7998,0.9339,keep,,,"Transfer from EU/GU/EURGBP to gold/silver with the XAU/XAG line as the cross. Book: 1h CISD trades opposite a directional dollar (EURUSD proxy), on days the cross has a directional daily closure. Gate: the cross selects gold, against complement days where it selects silver. Diff +0.02R, UNDERPOWERED (MDE 0.23).",concept_campaign/results/eurgbp-relative-strength-cross__a.json,concept_campaign/tests/structure_own_05a/eurgbp-relative-strength-cross.py
eurgbp-relative-strength-cross,b,structure,own,gate,UNDERPOWERED,245,0.0141821,-0.248279,0.275743,0.9155,0.9709,keep,,,"Individual-closure variant. Same dollar-filtered 1h CISD book, restricted to trades where exactly one of gold or silver made a daily closure through the prior day in the trade direction. Gate: gold made it, against complement: silver made it. Diff +0.01R, UNDERPOWERED (MDE 0.37).",concept_campaign/results/eurgbp-relative-strength-cross__b.json,concept_campaign/tests/structure_own_05a/eurgbp-relative-strength-cross.py
excluded-tooling,,model,own,untestable,UNTESTABLE,0,,,,,,,,,"A list of design exclusions with no directional price claim; its only measurable is a signal count. Several items need data the harness lacks (order flow, DOM, TPO) or are venue choices (futures vs CFD). Each excluded tool is tested under its own id.",concept_campaign/results/excluded-tooling.json,concept_campaign/tests/model_own_03b/excluded-tooling.py
expansion-exhaustion-avoid-price,a,risk,own,gate,UNDERPOWERED,31565,0.0112581,-0.0599432,0.084989,0.7608,0.9206,keep,,,"Gate on the 15m CISD book. Blocked trades are entries in the direction of a run of 3 or more consecutive daily expansion candles (opposing run/|body| <= 1.0). +0.011R, CI [-0.060, +0.085]. Only 1,164 blocked trades (effective n 192), MDE 0.104, so UNDERPOWERED.",concept_campaign/results/expansion-exhaustion-avoid-price__a.json,concept_campaign/tests/risk_own_02a/expansion-exhaustion-avoid-price.py
expansion-exhaustion-avoid-price,b,risk,own,gate,NULL,29337,0.015946,-0.0263288,0.0605822,0.472,0.7448,keep,,,"Same gate with a 2-day expansion streak (the 'after two days, wait for a new phase' corollary). +0.016R, CI [-0.026, +0.061]. Powered (MDE 0.062), so NULL.",concept_campaign/results/expansion-exhaustion-avoid-price__b.json,concept_campaign/tests/risk_own_02a/expansion-exhaustion-avoid-price.py
expansion-sequence-quality,a,structure,own,rate,UNDERPOWERED,465,-0.0163441,-0.0602258,0.0318387,0.4865,0.756,keep,,,"1h expansion met by an opposite expansion: the rate at which E1's origin is taken within 1,440 M1 bars was 52.9%, against 54.5% for a null at the same distance and horizon. Diff -1.6pp, MDE 6.6pp.",concept_campaign/results/expansion-sequence-quality__a.json,concept_campaign/tests/structure_own_01b/expansion-sequence-quality.py
expansion-sequence-quality,b,structure,own,gate,NULL,3906,-0.0132775,-0.0576551,0.0332114,0.5668,0.8029,keep,,,"Degraded-sequence filter (claim '-'): aligned 15m CISD continuations where the last three 1h expansions alternate direction. -0.013R vs the rest, powered NULL.",concept_campaign/results/expansion-sequence-quality__b.json,concept_campaign/tests/structure_own_01b/expansion-sequence-quality.py
expansion-signature,a,structure,own,trade,UNDERPOWERED,2066,0.0202258,-0.0506176,0.0946617,0.5852,0.808,keep,,,"Continuation inside a live 1h expansion: a shallow pullback (<=0.5) into a 15m FVG, then a 15m CISD; stop at the protected swing, target the leg's unswept extreme. +0.020R, MDE 0.104.",concept_campaign/results/expansion-signature__a.json,concept_campaign/tests/structure_own_01b/expansion-signature.py
expansion-signature,b,structure,own,gate,UNDERPOWERED,961,-0.00585407,-0.0909077,0.0848038,0.8961,0.9709,keep,,,"Stand-aside after 3 expansion days (claim '-'): aligned 15m CISD continuations after three small-wick trading days in the trade direction. -0.006R, effective n 177.",concept_campaign/results/expansion-signature__b.json,concept_campaign/tests/structure_own_01b/expansion-signature.py
external-range-liquidity,,liquidity,own,rate,NULL,6135,0.00161411,-0.0106955,0.0134187,0.793,0.9299,keep,,,"After a 1h FVG is tagged and respected, does price reach the nearest untaken 2/2 swing (from the last 72 bars) within 3 trading days? It did 74.5% of the time, against 74.4% for a level at the same distance and the same clock time. Powered NULL.",concept_campaign/results/external-range-liquidity.json,concept_campaign/tests/liquidity_own_01b/external-range-liquidity.py
failure-swing,a,structure,own,rate,NULL,26082,-0.0041868,-0.0102496,0.0019174,0.1774,0.4802,keep,,,"15m proximity reading: two consecutive same-side 3-bar swings within 0.25 ATR14 of each other, the cluster's outer extreme treated as a target. Taken within 300 M1 bars 73.3% of the time vs a 73.7% distance-matched null. Powered NULL.",concept_campaign/results/failure-swing__a.json,concept_campaign/tests/structure_own_03a/failure-swing.py
failure-swing,b,structure,own,rate,EDGE,59067,0.00888821,0.00442722,0.0133008,8.623e-05,0.00191,keep,refuted_faithfulness,,Refuted (faithfulness): only one horizon is EDGE; 1H and neighbouring horizons NULL; B1 negative.,concept_campaign/results/failure-swing__b.json,concept_campaign/tests/structure_own_03a/failure-swing.py
failure-swing-draw,,structure,guest,trade,NULL,5586,-0.0185417,-0.0465437,0.00883197,0.1893,0.4957,keep,,,"Trade test on 15m bars. A failure swing is a lower swing high that retraces at least 70% of the prior leg. It is confirmed by a close below the swing bar's low within 8 bars. Stop at the failure-swing extreme, target the lows that produced it (the draw), 24h hold. Result -0.019R vs control: powered NULL (MDE 0.040).",concept_campaign/results/failure-swing-draw.json,concept_campaign/tests/structure_guest_01b/failure-swing-draw.py
failure-to-displace,a,structure,own,trade,EDGE,82574,0.0424069,0.0197151,0.067675,0.0005281,0.01037,keep,refuted_faithfulness,,Refuted (faithfulness): the gain is in stops under $0.30 in 2016-18 (microstructure); without them NULL.,concept_campaign/results/failure-to-displace__a.json,concept_campaign/tests/structure_own_02a/failure-to-displace.py
failure-to-displace,b,structure,own,trade,UNDERPOWERED,857,0.0354963,-0.0572054,0.130247,0.4579,0.7367,keep,,,"Tested the same rule at the daily scale (18:00 NY days, stub days skipped): fade the next day, stop at the day's extreme, target the previous day's opposite extreme, 1380 trading minutes. +0.036R, MDE 0.134, UNDERPOWERED.",concept_campaign/results/failure-to-displace__b.json,concept_campaign/tests/structure_own_02a/failure-to-displace.py
failure-to-manipulate,,structure,own,trade,UNDERPOWERED,1400,0.129475,0.0441925,0.198105,0.0009754,0.01652,keep,,,"Failure branch: a 1h expansion into the prior day's low/high with no opposite expansion within 4 bars, traded as a continuation (stop at the retracement extreme, 2R). +0.129R with a CI excluding 0 in the claimed direction, but MDE 0.110 > 0.10, so the harness labels it UNDERPOWERED.",concept_campaign/results/failure-to-manipulate.json,concept_campaign/tests/structure_own_01b/failure-to-manipulate.py
fair-value-gap,a,structure,own,trade,NULL,8358,0.0254842,-0.00851995,0.0593142,0.1408,0.4331,keep,,,"FVG as an entry array. On the first return to a 1h FVG's near edge within 1,440 M1 bars, enter in the gap's direction, stop beyond the far edge, 2R, 10h hold. Against a matched control: +0.025R, CI [-0.009, +0.059], a powered null (MDE 0.048).",concept_campaign/results/fair-value-gap__a.json,concept_campaign/tests/structure_own_02b/fair-value-gap.py
fair-value-gap,b,structure,own,rate,EDGE,11930,0.00992456,0.000417854,0.0197674,0.04437,0.2338,keep,refuted_both,,Refuted (both): volatility clustering after displacement - a local-volatility-matched null gives -0.005 NULL.,concept_campaign/results/fair-value-gap__b.json,concept_campaign/tests/structure_own_02b/fair-value-gap.py
fair-value-gap-not-an-entry,,entry,own,gate,NULL,3155,0.017852,-0.0417996,0.0795418,0.5641,0.8029,keep,,,"Union book at the same 1h FVGs, validated-order-block entries vs gap-limit entries. Limit arm: 2R, stop past the gap's far edge. Validated arm: 5m CISD inside the gap, entered on its close, 2R. Validated beat limit by +0.018R, a powered null.",concept_campaign/results/fair-value-gap-not-an-entry.json,concept_campaign/tests/entry_own_02b/fair-value-gap-not-an-entry.py
fake-smt-strength-switch,,liquidity,guest,gate,UNDERPOWERED,4836,0.00452039,-0.0661159,0.0741152,0.8994,0.9709,keep,,,"1H gold/silver SMT reversal book (7,796 trades) decided one bar after the SMT. Gate 'genuine' (62% of trades): the sweeping asset closed back inside its level and the held asset has not caught up. Genuine minus fake = +0.005R, CI [-0.066, +0.074], MDE 0.1002, so power just misses.",concept_campaign/results/fake-smt-strength-switch.json,concept_campaign/tests/liquidity_guest_01a/fake-smt-strength-switch.py
fifteen-second-execution-timeframe,a,entry,guest,trade,UNDERPOWERED,3878,0.0174613,-0.0857267,0.110279,0.7269,0.9011,keep,,,"1-minute step, which is the chart the worked example used. Setup: a 1h FVG tap is the POI, then an M1 close through the intermediate swing, entry at the midpoint of the M1 FVG, stop at the move extreme, target the nearest untaken 1h swing, 8h hold.",concept_campaign/results/fifteen-second-execution-timeframe__a.json,concept_campaign/tests/entry_guest_02a/fifteen-second-execution-timeframe.py
fifteen-second-execution-timeframe,b,entry,guest,untestable,UNTESTABLE,0,,,,,,,,,"The 15-second execution step cannot be tested because the certified data is M1 only. There are no sub-minute bars to find a 15s FVG or swing stop, or to resolve a trade on.",concept_campaign/results/fifteen-second-execution-timeframe__b.json,concept_campaign/tests/entry_guest_02a/fifteen-second-execution-timeframe.py
five-concept-entry-toolkit,,model,guest,trade,UNDERPOWERED,9470,0.0927946,-0.019908,0.226117,0.1393,0.4329,keep,,,"Toolkit tested through its FVG array: first M1 return into a 1h FVG, stop at the far edge, target the most recent 1h swing on the far side (the old high/low), hold 10h. Diff +0.093R, CI [-0.020, +0.226]. The far targets make R highly variable (MDE 0.176), so it is short of power.",concept_campaign/results/five-concept-entry-toolkit.json,concept_campaign/tests/model_guest_02b/five-concept-entry-toolkit.py
fomc-day-participation,a,time,own,gate,UNDERPOWERED,31732,0.0594516,-0.0211201,0.131393,0.1265,0.4033,keep,,,"Host reading (stand down on the FOMC trading day): gate on the rung-0 15m bare CISD book, non-FOMC days against FOMC days. The sign favours standing down (+0.06R, both halves positive), but the FOMC arm has only 83 days, so it is structurally underpowered.",concept_campaign/results/fomc-day-participation__a.json,concept_campaign/tests/time_own_03a/fomc-day-participation.py
fomc-day-participation,b,time,own,trade,NEGATIVE,1011,-0.082725,-0.15493,-0.00755716,0.02778,0.1838,keep,,,"Guest reading (run the normal process on FOMC days): 15m CISD setups on FOMC trading days against matched random entries come out -0.083R, with the day-block CI excluding 0. Both halves are negative (H1 -0.018, H2 -0.144). This rests on 83 days and p=0.028, so it is fragile under multiplicity.",concept_campaign/results/fomc-day-participation__b.json,concept_campaign/tests/time_own_03a/fomc-day-participation.py
fomc-nfp-cpi-only,,time,own,gate,UNDERPOWERED,32618,-0.0508641,-0.270842,0.149256,0.6351,0.8433,keep,,,Never trade after FOMC: 15m CISD decisions from 14:00 NY to the session end on scheduled FOMC days are blocked (125 events on 76 days). Structurally underpowered: effective n is 76 and MDE 0.30. The 'only three releases' preference has no outcome of its own and is not scored.,concept_campaign/results/fomc-nfp-cpi-only.json,concept_campaign/tests/time_own_02b/fomc-nfp-cpi-only.py
fomc-week-protocol,,time,guest,gate,UNDERPOWERED,382,0.135727,-0.0219896,0.301076,0.09959,0.3624,keep,,,"Within FOMC press-conference weeks (69 dates, each checked against a 14:00 NY volatility spike before testing), 1h CISD trades after the presser day were compared with trades before 14:30 ET on the presser day. The difference was +0.14R, but n_eff was 135 and MDE 0.23, so the result is UNDERPOWERED.",concept_campaign/results/fomc-week-protocol.json,concept_campaign/tests/time_guest_01b/fomc-week-protocol.py
four-am-analysis-start,,time,guest,gate,NULL,54605,-0.00510014,-0.0198474,0.0096334,0.4977,0.7638,keep,,,"Bare 5m CISD. Setups from 04:00 to 17:00 NY vs setups from 18:00 to 04:00: -0.005R [-0.020, +0.010]. Powered NULL. Discarding pre-04:00 setups gains nothing.",concept_campaign/results/four-am-analysis-start.json,concept_campaign/tests/time_guest_01a/four-am-analysis-start.py
four-candle-model-window,a,model,own,gate,NULL,22651,-0.0204379,-0.0481853,0.00749739,0.1502,0.4478,keep,,,"The four-candle window read as a hard window: 5m CISD entries in the direction of the last 1H C2, taken during C3/C4 vs C5/C6. Entries inside the window are not better (powered NULL, point estimate negative).",concept_campaign/results/four-candle-model-window__a.json,concept_campaign/tests/model_own_04a/four-candle-model-window.py
four-candle-model-window,b,model,own,untestable,UNTESTABLE,0,,,,,,,,,The C1-C4 numbering convention and the indicator's four-candle display default are labelling definitions that assert nothing about price.,concept_campaign/results/four-candle-model-window__b.json,concept_campaign/tests/model_own_04a/four-candle-model-window.py
four-entry-models,a,model,own,trade,NULL,13579,-0.00159714,-0.0256449,0.0235395,0.8987,0.9709,keep,,,"Model 1 on 1m in the 08:30-11:00 NY open: liquidity grab, then BOS close with an FVG, retrace into the FVG, stop at the grab extreme, 2R. A powered zero.",concept_campaign/results/four-entry-models__a.json,concept_campaign/tests/model_own_04a/four-entry-models.py
four-entry-models,b,model,own,gate,UNDERPOWERED,1617,-0.00894453,-0.0879354,0.0736273,0.8282,0.9415,keep,,,"Model 3 vs model 1: requiring the FVG entry to sit in the 0.62-0.79 OTE of the displacement leg. It passes only 11.9% of setups. The MDE of 0.115 exceeds 0.10, so the result is underpowered.",concept_campaign/results/four-entry-models__b.json,concept_campaign/tests/model_own_04a/four-entry-models.py
four-hour-session-if-then-chain,,time,guest,trade,NULL,2360,0.00954704,-0.0334789,0.0514605,0.6595,0.8594,keep,,,"Futures 4H grid, chain pairs 02->06, 06->10 and 10->14 NY. When a candle sweeps one side of the previous 4H candle and closes back inside, trade away from it into the next candle. Stop at the swept extreme, target the prior candle's opposite extreme, 4h hold. Powered NULL (MDE 0.061).",concept_campaign/results/four-hour-session-if-then-chain.json,concept_campaign/tests/time_guest_01b/four-hour-session-if-then-chain.py
four-hour-wick-positioning,,entry,guest,trade,NULL,12120,0.0296954,-0.000910664,0.0604801,0.05794,0.2721,keep,,,"Setup: a small-wick 1h bar closes beyond the prior bar's extreme inside a forming 4H candle (forex grid). Enter at the 50% retrace, stop at the expansion bar's extreme, exit at the 4H close. Result: +0.030R vs control, CI [-0.001, +0.060]. Powered NULL (MDE 0.044).",concept_campaign/results/four-hour-wick-positioning.json,concept_campaign/tests/entry_guest_02a/four-hour-wick-positioning.py
fractal-c2-unicorn-pairing,,time,guest,trade,NULL,3558,-0.0189378,-0.0588286,0.0215072,0.3555,0.6622,keep,,,"The C2-unicorn setup pooled over the three stated pairings (15m/1m, 1h/5m, 4h/15m) vs the matched control: -0.019R [-0.059, +0.022]. Powered NULL. Point estimates by pairing: 15m/1m -0.024, 1h/5m -0.065, 4h/15m +0.091 (n=398). Nothing supports it working at every scale.",concept_campaign/results/fractal-c2-unicorn-pairing.json,concept_campaign/tests/time_guest_01a/fractal-c2-unicorn-pairing.py
fractal-model-c2,a,model,own,trade,EDGE,3584,0.0289335,0.00209666,0.0564472,0.03691,0.2084,keep,refuted_both,,Refuted (both): forex 4H grid only - futures and UTC grids NULL; fails the ToD-matched control.,concept_campaign/results/fractal-model-c2__a.json,concept_campaign/tests/model_own_01a/fractal-model-c2.py
fractal-model-c2,b,model,own,trade,NULL,13183,0.00509751,-0.0129512,0.0251995,0.6004,0.8209,keep,,,"The same C2 model on the 1H/5m playbook pairing, one 1h candle hold. Well-powered NULL, +0.005R (MDE 0.027).",concept_campaign/results/fractal-model-c2__b.json,concept_campaign/tests/model_own_01a/fractal-model-c2.py
fractal-model-c3,a,model,own,trade,NULL,1968,0.0215975,-0.0121931,0.0564487,0.2174,0.5219,keep,,,"4H C3 closure, Reading A: the prior candle took the extreme without a C2 and this candle closes beyond C2's open. Traded C4 at 2R with the stop at the C2/C3 swing, one 4H candle hold. NULL, +0.022R.",concept_campaign/results/fractal-model-c3__a.json,concept_campaign/tests/model_own_01a/fractal-model-c3.py
fractal-model-c3,b,model,own,trade,NULL,1343,0.0186471,-0.0197017,0.0595455,0.3563,0.6622,keep,,,"4H C3 closure, Reading B: the close must clear C2's extreme, a strict subset of Reading A. Same trade. NULL, +0.019R.",concept_campaign/results/fractal-model-c3__b.json,concept_campaign/tests/model_own_01a/fractal-model-c3.py
fractal-model-c4,a,model,own,trade,UNDERPOWERED,172,-0.107426,-0.280812,0.0728657,0.2338,0.5488,keep,,,"Daily candle 4 trade. Needs a 3-candle swing, with C3 closing beyond C2's extreme and closing strong (close position >= 0.85). Entry at the C4 open, stop at 0.5 of C3's range, 2R, one day held. Only 172 trades in the certified span; -0.107R, UNDERPOWERED.",concept_campaign/results/fractal-model-c4__a.json,concept_campaign/tests/model_own_01b/fractal-model-c4.py
fractal-model-c4,b,model,own,trade,UNDERPOWERED,897,-0.0403412,-0.127464,0.0409169,0.3477,0.6592,keep,,,"The same C4 trade on 4H forex-grid candles. Result: -0.040R, MDE 0.120, UNDERPOWERED.",concept_campaign/results/fractal-model-c4__b.json,concept_campaign/tests/model_own_01b/fractal-model-c4.py
framework-transfer,,model,own,trade,NULL,4992,-0.00923311,-0.0390109,0.0221846,0.5542,0.7941,keep,,,"Silver (local OANDA XAG H1) prints a 1H C2 and gold does not. Gold's next hour is traded as C3 on a 5m retracement plus CISD, targeting gold's C2-hour extreme. -0.009R, powered NULL.",concept_campaign/results/framework-transfer.json,concept_campaign/tests/model_own_04b/framework-transfer.py
futures-contract-rollover,,risk,own,untestable,UNTESTABLE,0,,,,,,,,,"Procedure for rolling ES/NQ quarterly contracts by open interest and volume. It makes no claim about price, and XAUUSD spot has no contracts or OI/volume curve.",concept_campaign/results/futures-contract-rollover.json,concept_campaign/tests/risk_own_02b/futures-contract-rollover.py
futures-contract-specs,,risk,own,untestable,UNTESTABLE,0,,,,,,,,,"Ticks, handles and multipliers are units and sizing arithmetic with no market hypothesis. Multipliers cancel in R.",concept_campaign/results/futures-contract-specs.json,concept_campaign/tests/risk_own_02b/futures-contract-specs.py
futures-over-forex-for-fills,,risk,guest,untestable,UNTESTABLE,0,,,,,,,,,"Compares limit fill rates between a futures feed and a spread-quoted forex feed on the same setups. We have one XAUUSD mid M1 series with no bid/ask spread and no futures counterpart, so neither fill rate can be computed.",concept_campaign/results/futures-over-forex-for-fills.json,concept_campaign/tests/risk_guest_02a/futures-over-forex-for-fills.py
futures-over-stocks-gap-continuity,,risk,guest,untestable,UNTESTABLE,0,,,,,,,,,"Compares asset classes: gapping cash equities/ETFs vs continuous futures. Only near-continuous XAUUSD data is available, so gap incidence and profile agreement across instrument classes cannot be measured.",concept_campaign/results/futures-over-stocks-gap-continuity.json,concept_campaign/tests/risk_guest_02a/futures-over-stocks-gap-continuity.py
futures-trading-hours,,time,own,untestable,UNTESTABLE,0,,,,,,,,,"A clock-envelope definition (18:00-17:00 NY, Sun-Fri) with no predictive or trading claim. Its only measurable is a bar-count sanity check, already settled: the daily break resumes at 18:00 NY on 99.8% of 605 halts, and the harness uses that as its day roll. The data is spot gold, not futures.",concept_campaign/results/futures-trading-hours.json,concept_campaign/tests/time_own_03a/futures-trading-hours.py
futures-vs-forex-differences,,risk,own,untestable,UNTESTABLE,0,,,,,,,,,"Vehicle-choice argument (spread, slippage, PDT rule, tax). It needs fills or bid/ask from both venues, and cost cancels in the matched-control differential anyway.",concept_campaign/results/futures-vs-forex-differences.json,concept_campaign/tests/risk_own_02b/futures-vs-forex-differences.py
fvg-entry-refinement,,entry,own,gate,UNDERPOWERED,4492,-0.0288258,-0.15814,0.0997175,0.6612,0.8594,keep,,,"gate_test on the same 1H FVGs (>=0.25 ATR): the 0.5 (CE) entry vs the near-edge entry, same far-edge stop and same fixed target, clustered by gap. Result -0.029R control-adjusted, CI contains 0, MDE 0.18. Only refinement method 1 was tested; methods 2 and 3 have no bounds.",concept_campaign/results/fvg-entry-refinement.json,concept_campaign/tests/entry_own_04a/fvg-entry-refinement.py
fvg-three-levels,,entry,own,rate,EDGE,34790,0.0096292,0.00398275,0.0152689,0.0008245,0.01454,keep,upheld,DESCRIPTIVE_ONLY,"Deep dive: leg extreme is reached before a far-edge close 1-2pp more often, surviving structural controls (+1.05 to +1.80pp); no trade beats a structural-stop control, median stop 0.655pt so every book is net negative.",concept_campaign/results/fvg-three-levels.json,concept_campaign/tests/entry_own_03a/fvg-three-levels.py
gap-direction-fade-rule,a,entry,guest,rate,EDGE,2128,0.0457707,0.0234962,0.06711,3.892e-05,0.0009341,reject,refuted_faithfulness,,Refuted (faithfulness): Sunday gaps were matched to quieter weekday reopens; a Sunday-only null cuts the Sunday effect from +16.8 to +3.2pp.,concept_campaign/results/gap-direction-fade-rule__a.json,concept_campaign/tests/entry_guest_02a/gap-direction-fade-rule.py
gap-direction-fade-rule,b,entry,guest,rate,UNDERPOWERED,110,0.0927273,-0.00368182,0.187273,0.05697,0.2721,keep,,,"Exception branch: gaps that cross a prior D/W/M extreme should fill LESS often than the null (claim '-'). They filled 35.5% vs a null of 26.2% (+9.3pp), which points against the claim, but the CI contains 0. Only n=110, so underpowered.",concept_campaign/results/gap-direction-fade-rule__b.json,concept_campaign/tests/entry_guest_02a/gap-direction-fade-rule.py
gap-open-adr-budget,,risk,own,rate,UNDERPOWERED,70,0.00285714,-0.0886429,0.102857,0.9534,0.9829,keep,,,"Rate test, claim '-'. On gap days (|open - prev close| >= 0.25 ADR20), does price reach a full ADR move from the open against the gap? The null uses random non-gap days within +/-30d at the same distance and direction. 15.7% vs 15.4%. Only 70 gap days on gold, MDE 13.7pp, so UNDERPOWERED.",concept_campaign/results/gap-open-adr-budget.json,concept_campaign/tests/risk_own_02a/gap-open-adr-budget.py
